1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
    24	 0.16367	 0.09216	 0.07318	 0.13867	 0.25960	 0.34001	 0.01502	 0.01696	-0.26889	 0.05672	-0.32267	 0.03832	-0.17920	-0.00280	-0.16149	-0.01461	-0.31365	-0.03460	-0.25480	-0.00979	-0.24090	-0.03177	-0.22334	 0.02122	-0.29552	-0.09227	-0.30998	-0.00014	-0.07943	 0.05133	 0.05776	 0.08815	 0.59646	 0.34923	-0.11875	 0.58138	NULL
    25	 0.15146	 0.10961	 0.08449	 0.15306	 0.25960	 0.34001	 0.03296	 0.01062	-0.28185	 0.05608	-0.35104	 0.04898	-0.17920	-0.00280	-0.15690	-0.01886	-0.29493	-0.03221	-0.22827	 0.00237	-0.24467	-0.02643	-0.22334	 0.02122	-0.24665	-0.07694	-0.30998	-0.00014	-0.01077	 0.04711	 0.05776	 0.08815	 0.59454	 0.35738	-0.11875	 0.58138	NULL
    26	 0.15146	 0.10961	 0.11301	 0.14297	 0.28488	 0.33052	 0.06602	 0.02124	-0.26889	 0.05672	-0.33127	 0.05072	-0.16874	-0.00017	-0.14098	-0.01809	-0.25850	-0.02769	-0.19486	 0.01318	-0.22936	-0.02209	-0.21097	 0.02209	-0.16530	-0.07373	-0.36355	 0.07577	 0.00812	 0.08324	 0.07576	 0.08159	 0.58762	 0.36197	-0.11875	 0.58138	NULL
    27	 0.17973	 0.09900	 0.13570	 0.17179	 0.27645	 0.36924	 0.15038	 0.03613	-0.23522	 0.06616	-0.27181	 0.05596	-0.12678	 0.01032	-0.08247	-0.01220	-0.14296	-0.00965	-0.10301	 0.04137	-0.15559	-0.00919	-0.16632	 0.03262	 0.03267	-0.01225	-0.22511	 0.02537	 0.14516	 0.14040	 0.07887	 0.09613	 0.59101	 0.36246	-0.17959	 0.87501	NULL
    28	 0.16752	 0.11647	 0.14705	 0.18623	 0.31022	 0.37438	 0.18080	 0.07024	-0.19623	 0.06811	-0.24068	 0.07189	-0.09703	 0.01778	-0.04488	-0.00686	-0.07476	 0.00329	-0.05263	 0.05530	-0.11182	 0.00077	-0.14640	 0.04140	 0.11652	 0.04180	-0.18623	 0.06783	 0.22440	 0.15433	 0.09689	 0.08957	 0.59624	 0.36040	-0.17959	 0.87501	NULL
    29	 0.22417	 0.09520	 0.21578	 0.18041	 0.34406	 0.37952	 0.28398	 0.07873	-0.12328	 0.07947	-0.13227	 0.06809	-0.03629	 0.03120	 0.02753	 0.00577	 0.05275	 0.03005	 0.03581	 0.07602	-0.01578	 0.01573	-0.07176	 0.04665	 0.30110	 0.09308	-0.00727	 0.05952	 0.35366	 0.19354	 0.13612	 0.09098	 0.61166	 0.35991	 0.01880	 0.79692	NULL
    30	 0.22417	 0.09520	 0.22720	 0.19486	 0.35253	 0.39420	 0.31756	 0.08940	-0.08405	 0.08138	-0.09219	 0.07152	-0.00884	 0.03630	 0.05651	 0.01188	 0.10591	 0.04140	 0.06840	 0.08206	 0.02154	 0.02217	-0.03432	 0.04926	 0.35224	 0.12587	 0.03953	 0.04248	 0.39374	 0.20051	 0.15735	 0.09895	 0.62198	 0.36137	 0.01880	 0.79692	NULL
    31	 0.24031	 0.10204	 0.25595	 0.18470	 0.36946	 0.42363	 0.35123	 0.10008	-0.03688	 0.09146	-0.03191	 0.07666	 0.03031	 0.04252	 0.09570	 0.02011	 0.17529	 0.05965	 0.10540	 0.08867	 0.07643	 0.03026	 0.01572	 0.05272	 0.40316	 0.14151	 0.07917	 0.08511	 0.43389	 0.20749	 0.19670	 0.10035	 0.65608	 0.37200	 0.27754	 0.42540	NULL
    32	 0.24031	 0.10204	 0.26743	 0.19916	 0.39496	 0.41406	 0.36950	 0.09361	-0.01059	 0.09271	-0.01175	 0.07836	 0.04089	 0.04516	 0.10734	 0.02255	 0.19781	 0.06487	 0.11409	 0.08986	 0.09393	 0.03192	 0.02825	 0.05358	 0.40316	 0.14151	 0.07917	 0.08511	 0.43389	 0.20749	 0.23296	 0.08715	 0.67128	 0.38268	 0.27754	 0.42540	NULL
    33	 0.25647	 0.10888	 0.27888	 0.21366	 0.41196	 0.44355	 0.38496	 0.11075	 0.01572	 0.09397	 0.02859	 0.08177	 0.05893	 0.04610	 0.11883	 0.02761	 0.21968	 0.07101	 0.12269	 0.08947	 0.10707	 0.03317	 0.04841	 0.06238	 0.41946	 0.11800	 0.12622	 0.06799	 0.46438	 0.19605	 0.25429	 0.09512	 0.71902	 0.40097	 0.27754	 0.42540	NULL
    34	 0.25647	 0.10888	 0.27888	 0.21366	 0.42045	 0.45833	 0.38496	 0.11075	 0.02888	 0.09461	 0.02859	 0.08177	 0.06141	 0.04848	 0.12243	 0.02967	 0.22530	 0.07233	 0.12478	 0.08819	 0.11337	 0.03088	 0.04841	 0.06238	 0.43575	 0.09452	 0.18042	-0.00881	 0.46438	 0.19605	 0.25429	 0.09512	 0.73946	 0.41516	 0.27754	 0.42540	NULL
    35	 0.27263	 0.11572	 0.29037	 0.22816	 0.43745	 0.48795	 0.42159	 0.09780	 0.05525	 0.09585	 0.04880	 0.08347	 0.06746	 0.05172	 0.13115	 0.03151	 0.22920	 0.07426	 0.12515	 0.08593	 0.10898	 0.03046	 0.04348	 0.06945	 0.41904	 0.10080	 0.12622	 0.06799	 0.46438	 0.19605	 0.27566	 0.10310	 0.78547	 0.44151	 0.01880	 0.79692	NULL
    36	 0.26037	 0.13325	 0.27299	 0.25290	 0.46307	 0.47834	 0.40042	 0.12793	 0.05525	 0.09585	 0.04009	 0.09603	 0.06921	 0.05217	 0.13261	 0.03181	 0.22857	 0.07516	 0.12397	 0.08421	 0.10461	 0.03004	 0.04348	 0.06945	 0.40231	 0.10707	 0.12622	 0.06799	 0.43389	 0.20749	 0.27566	 0.10310	 0.80921	 0.45632	 0.21758	 0.71869	NULL
    37	 0.28882	 0.12257	 0.30185	 0.24269	 0.48013	 0.50802	 0.41876	 0.12145	 0.05525	 0.09585	 0.04009	 0.09603	 0.06816	 0.05367	 0.13406	 0.03211	 0.22516	 0.07439	 0.11774	 0.07948	 0.09584	 0.02922	 0.02602	 0.07565	 0.38520	 0.09615	 0.12622	 0.06799	 0.45457	 0.17768	 0.27566	 0.10310	 0.85679	 0.49148	 0.21758	 0.71869	NULL
